"Time,""bansos"""
2024-02-06,82
2024-02-07,72
2024-02-08,71
2024-02-09,100
2024-02-10,78
2024-02-11,56
2024-02-12,69
2024-02-13,50
2024-02-14,32
2024-02-15,61
2024-02-16,79
2024-02-17,69
2024-02-18,50
2024-02-19,77
2024-02-20,89
2024-02-21,81
2024-02-22,90
2024-02-23,57
2024-02-24,58
2024-02-25,63
2024-02-26,58
2024-02-27,51
2024-02-28,58
2024-02-29,59
2024-03-01,74
2024-03-02,80
2024-03-03,50
2024-03-04,64
2024-03-05,69
2024-03-06,86
2024-03-07,100
2024-03-08,79
2024-03-09,79
2024-03-10,46
2024-03-11,41
2024-03-12,54
2024-03-13,47
2024-03-14,49
2024-03-15,43
2024-03-16,45
2024-03-17,37
2024-03-18,45
2024-03-19,52
2024-03-20,62
2024-03-21,49
2024-03-22,51
2024-03-23,51
2024-03-24,51
2024-03-25,44
2024-03-26,47
2024-03-27,33
2024-03-28,52
2024-03-29,51
2024-03-30,34
2024-03-31,68
2024-04-01,100
2024-04-02,87
2024-04-03,96
2024-04-04,82
2024-04-05,79
2024-04-06,61
2024-04-07,43
2024-04-08,36
2024-04-09,35
2024-04-10,0
2024-04-11,0
2024-04-12,52
2024-04-13,27
2024-04-14,26
2024-04-15,39
2024-04-16,41
2024-04-17,60
2024-04-18,60
2024-04-19,63
2024-04-20,33
2024-04-21,71
2024-04-22,65
2024-04-23,36
2024-04-24,56
2024-04-25,51
2024-04-26,43
2024-04-27,38
2024-04-28,33
2024-04-29,37
2024-04-30,41
2024-05-01,56
2024-05-02,37
2024-05-03,46
2024-05-04,38
2024-05-05,34
2024-05-06,73
2024-05-07,62
2024-05-08,99
2024-05-09,48
2024-05-10,31
2024-05-11,0
2024-05-12,45
2024-05-13,61
2024-05-14,50
2024-05-15,47
2024-05-16,73
2024-05-17,58
2024-05-18,70
2024-05-19,75
2024-05-20,75
2024-05-21,76
2024-05-22,92
2024-05-23,51
2024-05-24,76
2024-05-25,79
2024-05-26,58
2024-05-27,100
2024-05-28,80
2024-05-29,60
2024-05-30,81
2024-05-31,65
2024-06-01,58
2024-06-02,59
2024-06-03,100
2024-06-04,54
2024-06-05,63
2024-06-06,61
2024-06-07,79
2024-06-08,57
2024-06-09,73
2024-06-10,57
2024-06-11,73
2024-06-12,84
2024-06-13,60
2024-06-14,38
2024-06-15,71
2024-06-16,95
2024-06-17,81
2024-06-18,44
2024-06-19,56
2024-06-20,46
2024-06-21,49
2024-06-22,42
2024-06-23,65
2024-06-24,53
2024-06-25,53
2024-06-26,42
2024-06-27,61
2024-06-28,79
2024-06-29,46
2024-06-30,68
2024-07-01,64
2024-07-02,73
2024-07-03,65
2024-07-04,54
2024-07-05,53
2024-07-06,36
2024-07-07,60
2024-07-08,95
2024-07-09,70
2024-07-10,61
2024-07-11,50
2024-07-12,80
2024-07-13,54
2024-07-14,70
2024-07-15,84
2024-07-16,51
2024-07-17,79
2024-07-18,30
2024-07-19,83
2024-07-20,50
2024-07-21,76
2024-07-22,65
2024-07-23,82
2024-07-24,68
2024-07-25,76
2024-07-26,59
2024-07-27,78
2024-07-28,78
2024-07-29,84
2024-07-30,100
2024-07-31,73
2024-08-01,58
2024-08-02,68
2024-08-03,65
2024-08-04,85
2024-08-05,65
2024-08-06,100
2024-08-07,81
2024-08-08,72
2024-08-09,60
2024-08-10,39
2024-08-11,42
2024-08-12,43
2024-08-13,39
2024-08-14,55
2024-08-15,50
2024-08-16,26
2024-08-17,0
2024-08-18,24
2024-08-19,33
2024-08-20,41
2024-08-21,32
2024-08-22,25
2024-08-23,28
2024-08-24,30
2024-08-25,32
2024-08-26,29
2024-08-27,24
2024-08-28,52
2024-08-29,19
2024-08-30,34
2024-08-31,28
2024-09-01,49
2024-09-02,100
2024-09-03,71
2024-09-04,63
2024-09-05,67
2024-09-06,40
2024-09-07,61
2024-09-08,62
2024-09-09,67
2024-09-10,0
